region,country,policy_level,policy_type,key_policy_measures_and_targets,category,year,source,source_table,key_policy_measures_and_targets_______________________________________________category
Australia,Unknown,Subnational,Objective,Victoria: 50% of LDV fleet to be ZEV by 2030.,Bus,2021,Victoria State Government,Table 2,
Australia,Unknown,Subnational,Objective,Victoria: All new public buses to be ZEV by 2025.,LDV,2021,Australian Capital Territory Government,Table 2,
Australia,Unknown,Subnational,Objective,Australian Capital Territory : 80-90% of new car sales to be ZEVs by 2030 and all new LDVs to be ZEVs by 2035.,LDV,2022,New South Wales Government,Table 2,
Australia,Unknown,Subnational,Objective,New South Wales: Increase EV sales to 52% by 2030–31 and help New South Wales achieve net zero emissions by 2050.,Bus,2023,New South Wales Government,Table 2,
Australia,Unknown,Subnational,Objective,"South Australia: New metropolitan taxis to be 100% EVs by 2030, and government and ride share fleets to be 100% EVs by 2030. All new passenger vehicles sold in South Australia to be fully electric by 2035.",LDV,2020,Tasmania Government,Table 2,
Australia,Unknown,Subnational,Objective,Tasmania: Transition the Tasmanian Government fleet to 100% EVs by 2030.,EVSE,2024,Government of Australia,Table 2,
Australia,Unknown,National,Legislation,Future Fuels Fund for the deployment of EV charging and hydrogen refuelling.,LDV,2021,Government of Australia,Table 2,
Australia,Unknown,National,Legislation,Electric Car Discount excludes eligible electric cars and associated car expenses from fringe benefits tax.,LDV,2022,Government of Australia,Table 2,
Australia,Unknown,National,Legislation,"New Vehicle Efficiency Standard will reduce CO₂ from new passenger vehicles by 60% between 2025 and 2029, and by 50% for light commercial vehicles.",LDV,2024,Accelerating to Zero Coalition,Table 2,
Austria,Unknown,Multi-national,Objective,Signatory to COP26 ZEV Declaration to work towards all sales of new cars and vans being zero emission by no later than 2035 in leading markets.,M/HDV,2022,"CALSTART: Drive
to Zero MOU",Table 2,
Austria,Unknown,Multi-national,Objective,"Signatory of the Memorandum of Understanding (MOU) on Zero-Emission Medium- and Heavy-Duty Vehicles, which targets 30% ZEV sales in M/HDVs by 2030, 100% by 2040.",Bus,2021,Government of Austria,Table 2,
Austria,Unknown,National,Objective,100% share of ZEVs in new bus sales by 2032.,LDV,2021,Government of Austria,Table 2,
Austria,Unknown,National,Objective,"100% share of ZEVs in new car, light commercial, and two-wheeler sales by 2030.",M/HDV,2021,Government of Austria,Table 2,
Austria,Unknown,National,Objective,100% share of ZEVs in new heavy goods vehicle sales (above 18 tonnes) by 2035.,M/HDV,2021,Government of Austria,Table 2,
Austria,Unknown,National,Objective,100% share of ZEVs in new heavy goods vehicle sales (under 18 tonnes) by 2030.,EVSE,2021,Government of Austria,Table 2,
Austria,Unknown,National,Objective,Necessary infrastructure for all types of ZEV road transport to be in place by no later than 2035.,"Taxation, LDV",2021,Government of Austria,Table 2,
Austria,Unknown,National,Legislation,"EVs are exempt from standard registration tax, consumption tax, motor- related insurance tax, and benefit-in-kind tax. Company vehicle EVs are tax deductible and VAT exempt.",LDV,2023,Accelerating to Zero Coalition,Table 2,
Azerbaijan,Unknown,Multi-national,Objective,Signatory to COP26 ZEV Declaration to work towards all sales of new cars and vans being zero emission by no later than 2035 in leading markets.,"EVSE, Taxation",2022,Government of Azerbaijan,Table 2,
Azerbaijan,Unknown,National,Legislation,The import and sale of second and third-level electric chargers for electric vehicles are exempt from VAT.,LDV,2022,Government of Bangladesh,Table 2,
Bangladesh,Unknown,National,Objective,40% of private cars and 10% of buses and trucks will be EVs by 2050.,"Manufacturing, Taxation",2023,Government of Bangladesh,Table 2,
Bangladesh,Unknown,National,Legislation,"10 year tax holiday for local EV manufacturing and assembly, various incentives.",Multiple,2021,Government of Bangladesh,Table 2,
Asia Pacific,Bangladesh,National,Announced target,30% of new registrations to be electric by 2030.,"Taxation, Manufacturing",2022,Government of Belarus,Table 3,
Europe,Belarus,National,Legislation,VAT exemptions for import of EVs; VAT exemption on import of goods for EV manufacturing.,EVSE,2021,Government of Belarus,Table 3,
Europe,Belarus,National,Legislation,Cost deductions for EVSE investments from 100% in 2020 decreasing gradually to 30% in 2025.,LDV,2021,Accelerating to Zero Coalition,Table 3,
Europe,Belgium,Multi-national,Objective,Signatory to COP26 ZEV Declaration to work towards all sales of new cars and vans being zero emission by no later than 2035 in leading markets.,M/HDV,2022,"CALSTART: Drive
to Zero MOU",Table 3,
Europe,Belgium,Multi-national,Objective,"Signatory of the Memorandum of Understanding (MOU) on Zero-Emission Medium- and Heavy-Duty Vehicles, which targets 30% ZEV sales in M/HDVs by 2030, 100% by 2040.","LDV, Taxation",2022,Government of Wallonia,Table 3,
Europe,Belgium,Subnational,Legislation,"Wallonia: Progressively ban the use of older vehicles (Euro 1, 2, 3 ban delayed to 2025, Euro 4 in 2026, Euro 5 in 2028, Euro 6 in 2030), and allow for the introduction of more restrictive LEZs.","LDV, Taxation",2022,Government of Flanders,Table 3,
Europe,Belgium,Subnational,Legislation,"Flanders: EVs are indefinitely exempt from both annual road and registration tax (PHEV and NG exemption ended in 2020). Tax relief via income tax of 15% also applies to the purchase of electric motorbikes, tricycles, and quadricycles.","LDV, Taxation",2019,Government of Flanders,Table 3,
Europe,Belgium,Subnational,Legislation,"Flanders: Tax relief for company vehicles is tied to emissions, with 0g CO₂ vehicles qualifying for up to 120% relief. Electricity costs are deductible at 75%.","LDV, Taxation",2020,European Commission,Table 3,
Europe,Belgium,National,Legislation,100% of the purchase value of a company BEV is deducted from corporate taxable income.,LDV,2023,Government of Flanders,Table 3,
Europe,Belgium,Subnational,Announced target,"Flanders: 20% of sales to be ZEV by 2025, and 50% BEV or FCEV sales and 20% PHEV in 2030.",Bus,2019,Government of Flanders,Table 3,
Europe,Belgium,Subnational,Announced target,"Flanders: 50% of all new purchases of non-urban buses, and at least 5% of trucks, will be zero-emission or low-carbon by 2030.",Bus,2019,Government of Flanders,Table 3,
Europe,Belgium,Subnational,Announced target,"Flanders: All urban public transport will be HEV, BEV, or FCEV by 2025, with all buses emission free by 2035.",LDV,2019,Government of Flanders,Table 3,
Europe,Belgium,Subnational,Announced target,"Flanders: At least 30% of new LCVs will be zero-emissions by 2030, and encouraging emission-free distribution from 2025.",M/HDV,2019,Government of Flanders,Table 3,
Europe,Belgium,Subnational,Announced target,Flanders: At least 5% of all trucks sales will be zero-emission or low-carbon by 2030.,Bus,2019,Government of Bolivia,Table 3,
Central and South America,Bolivia,National,Objective,Annual 10% growth in the share of EVs in the Bolivian public transportation fleet.,"Manufacturing, Taxation",2022,Government of Bolivia,Table 3,
Central and South America,Bolivia,National,Legislation,"Tax incentives and financial incentives for the manufacturing, assembly, import, and purchase of EVs.",LDV,2021,Government of Bosnia and Herzegovina,Table 3,
Europe,Bosnia and Herzegovina,National,Legislation,Subsidies for the purchase of electric and hybrid cars to individuals in 2022.,Multiple,2022,Government of Brazil,Table 3,
Central and South America,Brazil,National,Legislation,"National Green Mobility and Innovation Program (""MOVER""), Provisional Measure 1,205/2023 establishes new guidelines for the local automotive sector, including fleet sustainability requirements and incentives for the production of new technologies. It also outlines financial incentives and support, such as, credits and fiscal incentives (up to R$ 19.3 billion in financial credits between 2024 and 2028) and a National Fund for Industrial Development.",EVSE,2024,The city of São Paulo,Table 3,
Central and South America,Brazil,Subnational,Legislation,The city of São Paulo has mandated that new buildings prepare and plan for the charging infrastructure required for electric vehicles.,Multiple,2020,Government of Brazil,Table 3,
Central and South America,Brazil,National,Proposal,Deputies Bill No. 2156/2021 that aims to provide guidelines for the National Electric Mobility Policy.,Taxation,2021,Government of Brazil,Table 3,
Central and South America,Brazil,National,Proposal,Senate Bill No. 403/2022 that aims to grant exemption from Import Tax for electric and hybrid vehicles.,Taxation,2022,Government of Brazil,Table 3,
Central and South America,Brazil,National,Proposal,"Resolution no. 532/2023 from the Executive Committee of the Foreign Chamber of Commerce establishes the gradual return of import tax on electric, hybrid and plug-in hybrid vehicles.",EVSE,2023,Government of Bulgaria,Table 3,
Europe,Bulgaria,National,Objective,Build 10 000 charging stations to facilitate at least 30 000 EVs by 2026.,"LDV, Taxation",2022,Government of Bulgaria,Table 3,
Europe,Bulgaria,National,Legislation,"Registration and annual circulation tax exemption for electric cars, motorbikes, and mopeds.",M/HDV,2016,"CALSTART: Drive
to Zero MOU",Table 3,
Africa,Cabo Verde,Multi-national,Objective,"Signatory of the Memorandum of Understanding (MOU) on Zero-Emission Medium- and Heavy-Duty Vehicles, which targets 30% ZEV sales in M/HDVs by 2030, 100% by 2040.",LDV,2023,Accelerating to Zero Coalition,Table 3,
Africa,Cabo Verde,Multi-national,Objective,Signatory to COP26 ZEV Declaration to work towards all sales of new cars and vans being zero emission by no later than 2035 in leading markets.,LDV,2022,Government of Cape Verde,Table 3,
Africa,Cabo Verde,National,Announced target,100% EVs in government LDV stock by 2030.,M/HDV,2019,Government of Cape Verde,Table 3,
Africa,Cabo Verde,National,Announced target,"15% share of EVs in medium truck sales by 2025, 35% by 2030 and 100%
by 2035.",M/HDV,2019,Government of Cape Verde,Table 3,
Africa,Cabo Verde,National,Announced target,25% share of EVs in heavy truck sales by 2030 and 100% by 2035.,LDV,2019,Government of Cape Verde,Table 3,
Africa,Cabo Verde,National,Announced target,"35% share of passenger LDV sales to be EVs by 2025, 70% by 2030 and 100% by 2035.",Bus,2019,Government of Cape Verde,Table 3,
Africa,Cabo Verde,National,Announced target,"50% share of EVs in urban bus sales by 2025, 75% by 2030 and 100% by
2040.",2/3W,2019,Government of Cambodia,Table 3,
Southeast Asia,Cambodia,National,Objective,70% of motorcycle stock to be EVs by 2050.,"LDV, Bus",2021,Government of Cambodia,Table 3,
Southeast Asia,Cambodia,National,Objective,40% of cars and urban buses to be EVs by 2050.,LDV,2021,Government of Cambodia,Table 3,
Southeast Asia,Cambodia,National,Announced target,"Registration of 30,000 electric vehicles by 2030 including 25,000 private cars and 5,000 commercial vehicles.",2/3W,2024,Government of Cambodia,Table 3,
Southeast Asia,Cambodia,National,Announced target,"Registration of 720,000 electric two-wheelers and 20,000 three-wheelers by 2030.",M/HDV,2024,"CALSTART: Drive
to Zero MOU",Table 3,
North America,Canada,Multi-national,Objective,"Signatory of the Memorandum of Understanding (MOU) on Zero-Emission Medium- and Heavy-Duty Vehicles, which targets 30% ZEV sales in M/HDVs by 2030, 100% by 2040.","LDV, M/HDV",2019,Zero Emissions Government Fleet Declaration,Table 3,
North America,Canada,Multi-national,Objective,"The pledge goal is 100% zero-emission LDV acquisitions of civil government owned and operated fleet, with aspirations for 100% zero- emission M/HDV acquisitions, by no later than 2035. Canada also specifically aims for 75% of all government LDV purchases to be ZEVs or hybrid, with the objective that the LDV fleet is 100% ZEV by 2030.",LDV,2022,Accelerating to Zero Coalition,Table 3,
North America,Canada,Multi-national,Objective,Signatory to COP26 ZEV Declaration to work towards all sales of new cars and vans being zero emission by no later than 2035 in leading markets.,EVSE,2022,Government of Quebec,Table 3,
North America,Canada,Subnational,Objective,"Quebec: Increase the number of fast-chargers to 2 500 by 2030, and up to 4 500 standard chargers.",EVSE,2020,Government of British Columbia,Table 3,
North America,Canada,Subnational,Objective,British Columbia: 10 000 public EV charging stations by 2030.,LDV,2021,Government of Canada,Table 3,
North America,Canada,National,Legislation,"Auto manufacturers and importers must meet annual ZEV targets for light- duty sales of 20% by 2026, 60% by 2030 and 100% by 2035 (ZEV availability standard).",M/HDV,2023,Government of Canada,Table 3,
North America,Canada,National,Legislation,"Canadian CO₂ emissions standards are aligned with the US Phase 2 standard, targeting new heavy duty vehicle CO₂ emissions reductions of 5- 27% in model year 2027 (depending on vehicle category and weight) compared to 2017.",EVSE,2018,Government of Canada,Table 3,
North America,Canada,National,Legislation,Contribution of up to 50% of the project cost (75% for indigenous businesses and communities) when installing charging infrastructure (Zero Emission Vehicle Infrastructure Program supported by Canada's Infrastructure Bank),Bus,2022,Government of Canada,Table 3,
North America,Canada,National,Legislation,"Grants towards the purchase or lease of BEV, FCEV, or PHEV coaches (iMHZEV programme).",EVSE,2022,Government of Canada,Table 3,
North America,Canada,National,Legislation,Database of charging incentives available for homes and businesses in Canada.,M/HDV,2022,Government of Canada,Table 3,
North America,Canada,National,Legislation,"Grants towards the purchase or lease of BEV, FCEV, or PHEV trucks (iMHZEV programme).",Bus,2022,Government of Canada,Table 3,
North America,Canada,National,Legislation,"Support public and school bus operators plan for electrification, funding 5 000 zero emission bus purchases and supporting infrastructure (Zero Emission Transit Fund).",Taxation,2021,Government of Canada,Table 3,
North America,Canada,National,Legislation,Accelerated Capital Cost Allowance (CCA) for ZEVs.,EVSE,2019,Government of Yukon,Table 3,
North America,Canada,Subnational,Legislation,"Quebec: Requires ZEV sales to reach 22% in 2025, 85% in 2030 and 100%
in 2035, aiming for 2 million EVs by 2030.","LDV, EVSE",2020,Government of Prince Edward Island,Table 3,
North America,Canada,Subnational,Legislation,"Newfoundland and Labrador: Rebate towards the purchase or lease of a BEV, lower amount for a PHEV, which can be combined with federal incentives.",LDV,2021,Government of New Brunswick,Table 3,
North America,Canada,Subnational,Legislation,"New Brunswick: Rebate towards the purchase of a BEV or PHEV with more than 50km range; lower amount for a PHEV with less than 50km range and for used vehicles,  can be combined with federal incentives.",M/HDV,2021,Government of British Columbia,Table 3,
North America,Canada,Subnational,Legislation,British Columbia: Additional provincial level rebates which can be combined with federal rebates.,LDV,2021,Government of British Columbia,Table 3,
North America,Canada,Subnational,Legislation,"British Columbia: Accelerated ZEV targets for light-duty sales of 26% by 2026, 90% by 2030 and 100% by 2035. Ahead of national ambition.",LDV,2023,Government of Quebec,Table 3,
North America,Canada,Subnational,Announced target,"Quebec: 100% of government cars, SUVs, vans and minivans and 25% of its pickup trucks to be electrified by 2030.",EVSE,2020,Government of Quebec,Table 3,
North America,Canada,Subnational,Announced target,"Quebec: Target of 6,700 public fast-charging and 110,000 level 2 public charging stations by 2030 supported by an increased budget and amendments to building standards.",LDV,2023,Government of Quebec,Table 3,
North America,Canada,Subnational,Announced target,Quebec: 40% of taxis to be electric by 2030.,Bus,2020,Government of Quebec,Table 3,
North America,Canada,Subnational,Announced target,"Quebec: All new public/government funded buses will be electric by 2025, and 55% of city buses and 65% of school buses by 2030.",M/HDV,2020,"CALSTART: Drive
to Zero MOU",Table 3,
Central and South America,Chile,Multi-national,Objective,"Signatory of the Memorandum of Understanding (MOU) on Zero-Emission Medium- and Heavy-Duty Vehicles, which targets 30% ZEV sales in M/HDVs by 2030, 100% by 2040.",Multiple,2021,Government of Chile,Table 3,
Central and South America,Chile,National,Objective,"Roadmap for promoting electromobility including near-term actions on charging, public transport, awareness and regulation.",LDV,2023,Accelerating to Zero Coalition,Table 3,
Central and South America,Chile,Multi-national,Objective,,Unknown,2022,Government of Chile,Table 4,Signatory to COP26 ZEV Declaration to work towards all sales of new cars     Taxation and vans being zero emission by no later than 2035 in leading markets.
Central and South America,Chile,National,Legislation,,Unknown,2021,Government of Chile,Table 4,"Accelerated tax depreciation of electric, hybrid, and zero emissions vehicles. LDV"
Central and South America,Chile,National,Legislation,,Unknown,2021,Government of Chile,Table 4,"Energy efficiency law which promotes the importation of BEVs and PHEVs.
Entered into force in 2024, requiring fleet average efficiency of                         EVSE 5.3Lge/100km for the period 2024-26. 2027–2029: An improvement to 22.8
km/lge. 2030: A further increase to 28.9 km/lge."
Central and South America,Chile,National,Proposal,,Unknown,2023,Government of Chile,Table 4,"National public charging infrastructure plan targeting charging stations along M/HDV
interurban routes at most every 100km apart."
Central and South America,Chile,National,Announced target,,Unknown,2021,Government of Chile,Table 4,"100% of sales of heavy mobile machinery will be zero-emissions by 2035,      M/HDV
100% of sales of all mobile machinery (heavy and light) by 2040."
Central and South America,Chile,National,Announced target,,Unknown,2021,Government of Chile,Table 4,100% of sales of M/HDVs will be zero-emissions by 2045.                                 Bus
Central and South America,Chile,National,Announced target,,Unknown,2021,"China, Ministry of Commerce",Table 4,100% of sales of public transport vehicles will be zero-emissions by 2035.      Manufacturing
Asia Pacific,China,National,Objective,,Unknown,2024,China State Council,Table 4,A set of policies to support international trade of NEVs.                                      EVSE
Asia Pacific,China,National,Objective,,Unknown,2023,"China Society of Automotive Engineers, China Automotive Technology and Research Centre",Table 4,"Establish a high-quality charging infrastructure system by 2030, ensuring
city-level full coverage, highway-level linear coverage, and spotted-                 Multiple coverage of rural areas."
Asia Pacific,China,National,Objective,,Unknown,2023,"China, Ministry of Industry and Information Technology",Table 4,"NEV sales to account for 45% of new vehicle sales by 2025, and 60% by        Manufacturing 2030."
Asia Pacific,China,National,Objective,,Unknown,2017,"China, Ministry of Ecology and Environment",Table 4,"Aiming to increase competitiveness in the global auto industry by 2025,
focussing on NEVs and intelligent vehicle technologies. (China's mid-to-long  LDV term automotive industry development plan)."
Asia Pacific,China,National,Objective,,Unknown,2022,"China, Ministry of Industry and Information Technology, National Development and Reform Commission, Ministry of Ecology and Environment",Table 4,"NEV sales in key air pollution control regions to account for about 50% of
new vehicle sales by 2030 (Synergetic Reduction of Pollution and Carbon      Multiple Emission)."
Asia Pacific,China,National,Objective,,Unknown,2022,China National Development and Reform Commission,Table 4,"Proportion of new energy and clean energy-powered transport to reach
around 40% by 2030, and CO₂ emissions intensity of new passenger cars      EVSE and commercial vehicles to fall by more than 25% and 20% respectively
compared to 2020 (Plan for Carbon Peaking in the Industry Sector)."
Asia Pacific,China,National,Objective,,Unknown,2022,China's Ministry of Industry and Information Technology,Table 4,"Installation of charging infrastructure for more than 20 million EVs by 2025, includes subsidised public stations, and encourages regional governments     EVSE to establish standards and subsidies that promote quality of service."
Asia Pacific,China,National,Objective,,Unknown,2021,"China, State Council",Table 4,"11 pilot cities to demonstrate battery swapping technology, ultimately aiming
to promote more than 100 000 battery swapping-enabled EVs, and more        Multiple than 1 000 battery swapping stations in the demonstration period."
China,Unknown,National,Objective,Proportion of new energy and clean energy-powered vehicle sales (for,LDV,2021,China State Council,Table 5,
China,Unknown,National,Objective,NEV sales account for around 20% of total new vehicle sales by 2025.,Multiple,2020,Jilin Provincial Government,Table 5,
China,Unknown,Subnational,Objective,to replace freight vehicles with NEVs and to promote the elimination of old,Multiple,2024,"Shandong
Provincial",Table 5,
China,Unknown,Subnational,Objective,Shandong: Aims for road transport oil consumption to peak before 2030 (Plan for Carbon Peaking).,"LDV, M/HDV",2022,Hainan Provincial Government,Table 5,
China,Unknown,Subnational,Objective,"Hainan: End the sale of petrol and diesel vehicles by 2030. From 2030, all vehicle sales will be either NEVs or natural gas vehicles.",Manufacturing,2019,Chongqing Municipal People's Government,Table 5,
China,Unknown,Subnational,Objective,Chongqing: Sell and produce more than 10% of the country's intelligent NEVs by 2025.,Multiple,2022,Anhui Provincial Government,Table 5,
China,Unknown,Subnational,Objective,Anhui: Aims for road transport oil consumption to peak before 2030 (Plan for Carbon Peaking for the Industry Sector).,Taxation,2022,"China, State Taxation Administration",Table 5,
China,Unknown,National,Legislation,NEVs are exempted from China's annual vehicle and vessel tax,Manufacturing,2018,Industry and,Table 5,
China,Unknown,National,Legislation,Strengthened regulation for NEV manufacturer.,Multiple,2020,Development and,Table 5,
China,Unknown,National,Legislation,"IV), with extra benefits in case of scrapping old ICEVs running on diesel. In",LDV,2024,Reform,Table 5,
China,Unknown,National,Legislation,"Grants for the purchase of NEVs (passenger cars), with extra benefits in case for scrapping old ICEVs (registered before 2012 and 2014, in case of gasoline and diesel, respectively) and NEVs (registered before 2018)",Taxation,2024,"China, Ministry of Finance, State Taxation Administration, Ministry of Industry and Information Technology",Table 5,
China,Unknown,National,Legislation,"NEV exemption from vehicle purchase tax extended to the end of 2025, and a reduction of NEV vehicle purchase tax by 50% between 2026 - 2027.",Manufacturing,2023,"China, Ministry of Industry and Information Technology",Table 5,
China,Unknown,National,Legislation,ion Battery Industry Regulatory Management Measures set out specific,LDV,2021,Industry and,Table 5,
China,Unknown,National,Legislation,"Updated Parallel Management Regulation for Corporate Average Fuel Consumption and NEV Credits: the required NEV proportion for 2024 and 2025 is set at 28% and 38%, respectively.",LDV,2023,China State Administration for Market Regulation,Table 5,
China,Unknown,National,Legislation,"Fuel economy standard tightened: By 2025, passenger LDVs to reach 4.0L/100km as measured by the worldwide harmonized light vehicle test procedure (WLTP).",EVSE,2019,Shanghai Municipal Government,Table 5,
China,Unknown,Subnational,Legislation,"Shanghai: Subsidies for charging point and battery swapping installations with varying rates for community or commercial projects, as well as subsidised charging for taxis.",EVSE,2022,Hunan Provincial Government,Table 5,
China,Unknown,Subnational,Legislation,"Hunan: Subsidies provided per kW of charging installed, with greater amounts for those installed along highways; varies between regions of the province.",M/HDV,2022,China Society of Automotive Engineers,Table 5,
China,Unknown,National,Proposal,during the 2030 - 2035 period (Energy-saving and New Energy Vehicle,Multiple,2020,China State Council,Table 5,
China,Unknown,National,Announced target,"key air pollution control regions, and no less than 60% in other regions.",EVSE,2023,"Development and
Reform",Table 5,
China,Unknown,National,Announced target,"of annual EV charging electricity concentrated during valley price time, and",Multiple,2023,China State Council,Table 5,
China,Unknown,National,Announced target,NEV sales to account for 45% of new vehicle sales by 2027.,M/HDV,2023,"China, Ministry of Transport",Table 5,
China,Unknown,National,Announced target,"By 2025, in major ports in areas including Beijing-Tianjin-Hebei region, Yangtze River basin and the Greater Bay, reach 80% of connected waterway, railway, conveyor belt and NEVs in the transport of bulk cargos.",Multiple,2023,"China, Ministry of Industry and Information Technology",Table 5,
China,Unknown,National,Announced target,"Pilot project to electrify public sector vehicles - 80% of new buses, taxis, sanitation vehicles, postal and urban logistics vehicles to be NEVs by 2025 with a number of charging piles equal to the amount of new NEVs installed.","Bus, LDV",2023,"China, Ministry of Transport",Table 5,
China,Unknown,National,Announced target,72% share of NEVs in national urban public transport stock and 20% in logistics distribution stock by 2025.,Manufacturing,2021,China State Council,Table 5,
China,Unknown,National,Announced target,Achieve an average electricity consumption of new passenger BEVs ≤ 12.0 kWh/ 100 km by 2025.,Multiple,2020,China State Council,Table 5,
China,Unknown,National,Announced target,"Proportion of NEVs in new or updated government vehicles for public transport, rental, logistics and distribution in national pilot ecological civilisation zones and key regions for air pollution prevention and control should be no less than 80% from 2021 onwards.",EVSE,2020,Hunan Provincial Government,Table 5,
China,Unknown,Subnational,Announced target,"Hunan: By 2025, construct over 400 000 charging piles, aiming to reach a car-charging pile ratio of 2:1.","EVSE, Manufacturing",2023,Guangdong Provincial Government,Table 5,
China,Unknown,Subnational,Announced target,"Guangdong: By 2025, NEV production to reach more than 3 million, public NEV charging piles to reach more than 210 000 (A strategic action plan for the auto industry in Guangdong Province).",Manufacturing,2024,Zhejiang Provincial Government,Table 5,
China,Unknown,Subnational,Announced target,Zhejiang: Annual production of 600 000 NEVs by 2025.,Multiple,2021,Tianjin Municipal People's Government,Table 5,
China,Unknown,Subnational,Announced target,"Tianjin: 80% of public transport, taxis, logistics and delivery vehicle sales to be NEVs by 2025.",LDV,2022,Tianjin Municipal People's Government,Table 5,
China,Unknown,Subnational,Announced target,Sichuan: Proportion of new energy- and clean energy-powered transport (not including motorcycles) to reach around 40% by 2030 (Plan for Carbon Peaking).,EVSE,2022,Shenzhen Municipal Government,Table 5,
China,Unknown,Subnational,Announced target,Shenzhen: Construct a total of about 43 000 fast charging piles in the public and private networks and about 790 000 slow charging piles in the basic network by 2025.,Multiple,2022,Shenzhen Municipal Government,Table 5,
China,Unknown,Subnational,Announced target,Shenzhen: Proportion of NEVs among newly registered vehicles (excluding replacement and renewal) in Shenzhen to reach 60% by 2025. The number of NEVs will reach about 1 million.,LDV,2022,Shanxi Provincial Government,Table 5,
China,Unknown,Subnational,Announced target,Shanxi: Proportion of new energy- and clean energy-powered transport to reach around 40% by 2030 (Plan for Carbon Peaking).,Bus,2023,Shanghai Municipal Government,Table 5,
China,Unknown,Subnational,Announced target,Shanghai: Aims for carbon from urban transportation to peak by 2030 (Plan for Carbon Peaking in the Transport Sector).,LDV,2023,Shanghai Municipal Government,Table 5,
China,Unknown,Subnational,Announced target,Shanghai: Implementation Plan for Energy Saving and Emissions Reduction Integrated Tasks for the 14th Five Year Plan Period in Shanghai: BEVs to make up more than 50% of new personal vehicle purchases by 2025.,LDV,2022,Shanghai Municipal Government,Table 5,
